ticker,macro_variable,correlation_with_monthly_return,usable_months
AAPL,FEDFUNDS,0.05437146759937381,40
AAPL,VIXCLS,-0.19196059415612515,41
ADBE,FEDFUNDS,0.19357497791598607,40
ADBE,VIXCLS,-0.14230650130817787,41
AMD,FEDFUNDS,-0.12239670028024346,40
AMD,VIXCLS,0.03876347458319319,41
AVGO,FEDFUNDS,0.04248334616642423,40
AVGO,VIXCLS,0.010139134568975729,41
CRM,FEDFUNDS,0.1976793705370357,40
CRM,VIXCLS,-0.05475882156911281,41
MSFT,FEDFUNDS,0.19351531648702522,40
MSFT,VIXCLS,0.003746064931969106,41
NVDA,FEDFUNDS,0.20669923756259984,40
NVDA,VIXCLS,-0.13926855760940254,41
ORCL,FEDFUNDS,0.16282557644860549,40
ORCL,VIXCLS,-0.09677049469409789,41
